Symbol,Date,Close
DIS,9/30/2015,102.2
DIS,10/1/2015,102.67
DIS,10/2/2015,103
DIS,10/5/2015,103.85
DIS,10/6/2015,103.77
DIS,10/7/2015,103.39
DIS,10/8/2015,104.61
DIS,10/9/2015,105.56
DIS,10/12/2015,106.35
DIS,10/13/2015,106.59
DIS,10/14/2015,105.73
DIS,10/15/2015,107.89
DIS,10/16/2015,108.24
DIS,10/19/2015,109.47
DIS,10/20/2015,109.84
DIS,10/21/2015,110.09
DIS,10/22/2015,113.25
DIS,10/23/2015,113.09
DIS,10/26/2015,113.52
DIS,10/27/2015,113.77
DIS,10/28/2015,114.34
DIS,10/29/2015,115.04
DIS,10/30/2015,113.74
DIS,11/2/2015,115.04
DIS,11/3/2015,115.54
DIS,11/4/2015,113.25
DIS,11/5/2015,113
DIS,11/6/2015,115.67
DIS,11/9/2015,116.42
DIS,11/10/2015,117.42
DIS,11/11/2015,116.52
DIS,11/12/2015,116.21
DIS,11/13/2015,114.84
DIS,11/16/2015,115.92
DIS,11/17/2015,116.13
DIS,11/18/2015,118.14
DIS,11/19/2015,118.71
DIS,11/20/2015,120.07
DIS,11/23/2015,119.42
DIS,11/24/2015,117.95
DIS,11/25/2015,118.67
DIS,11/27/2015,115.13
DIS,11/30/2015,113.47
DIS,12/1/2015,115.39
DIS,12/2/2015,114
DIS,12/3/2015,111.89
DIS,12/4/2015,114.24
DIS,12/7/2015,113.83
DIS,12/8/2015,112.48
DIS,12/9/2015,111.47
DIS,12/10/2015,110.76
DIS,12/11/2015,108.04
DIS,12/14/2015,109.35
DIS,12/15/2015,112.16
DIS,12/16/2015,113.79
DIS,12/17/2015,112.01
DIS,12/18/2015,107.72
DIS,12/21/2015,106.59
DIS,12/22/2015,106.74
DIS,12/23/2015,105.56
DIS,12/24/2015,105.86
DIS,12/28/2015,107.25
DIS,12/29/2015,107.08
DIS,12/30/2015,106.34
DIS,12/31/2015,105.08
DIS,1/4/2016,102.98
DIS,1/5/2016,100.9
DIS,1/6/2016,100.36
DIS,1/7/2016,99.5
DIS,1/8/2016,99.25
DIS,1/11/2016,99.92
DIS,1/12/2016,101.46
DIS,1/13/2016,98.48
DIS,1/14/2016,99.11
DIS,1/15/2016,93.9
DIS,1/19/2016,93.97
DIS,1/20/2016,92.54
DIS,1/21/2016,94.02
DIS,1/22/2016,96.9
DIS,1/25/2016,95.29
DIS,1/26/2016,96.27
DIS,1/27/2016,94.32
DIS,1/28/2016,93.53
DIS,1/29/2016,95.82
DIS,2/1/2016,95.15
DIS,2/2/2016,93.12
DIS,2/3/2016,95.14
DIS,2/4/2016,95.43
DIS,2/5/2016,93.9
DIS,2/8/2016,92.12
DIS,2/9/2016,92.32
DIS,2/10/2016,88.85
DIS,2/11/2016,90.31
DIS,2/12/2016,91.15
DIS,2/16/2016,92.91
DIS,2/17/2016,95.5
DIS,2/18/2016,95.17
DIS,2/19/2016,95.01
DIS,2/22/2016,96.37
DIS,2/23/2016,95.38
DIS,2/24/2016,95.43
DIS,2/25/2016,95.65
DIS,2/26/2016,95.31
DIS,2/29/2016,95.52
DIS,3/1/2016,97.65
DIS,3/2/2016,97
DIS,3/3/2016,98.82
DIS,3/4/2016,98.48
DIS,3/7/2016,99.39
DIS,3/8/2016,97.82
DIS,3/9/2016,97.66
DIS,3/10/2016,97.04
DIS,3/11/2016,97.94
DIS,3/14/2016,98.81
DIS,3/15/2016,98.24
DIS,3/16/2016,98.44
DIS,3/17/2016,99.6
DIS,3/18/2016,99.2
DIS,3/21/2016,98.46
DIS,3/22/2016,97.58
DIS,3/23/2016,96.83
DIS,3/24/2016,97.22
DIS,3/28/2016,98.09
DIS,3/29/2016,98.16
DIS,3/30/2016,98.91
DIS,3/31/2016,99.31
DIS,4/1/2016,99.07
DIS,4/4/2016,98.68
DIS,4/5/2016,97
DIS,4/6/2016,97.48
DIS,4/7/2016,96.16
DIS,4/8/2016,96.42
DIS,4/11/2016,96.27
DIS,4/12/2016,97.35
DIS,4/13/2016,99.48
DIS,4/14/2016,98.63
DIS,4/15/2016,98.59
DIS,4/18/2016,101.48
DIS,4/19/2016,102.64
DIS,4/20/2016,103.27
DIS,4/21/2016,102.91
DIS,4/22/2016,103.77
DIS,4/25/2016,104.57
DIS,4/26/2016,104.89
DIS,4/27/2016,105.28
DIS,4/28/2016,104.03
DIS,4/29/2016,103.26
DIS,5/2/2016,104.36
DIS,5/3/2016,103.78
DIS,5/4/2016,103.67
DIS,5/5/2016,104.93
DIS,5/6/2016,105.54
DIS,5/9/2016,105.34
DIS,5/10/2016,106.6
DIS,5/11/2016,102.29
DIS,5/12/2016,101.71
DIS,5/13/2016,100.52
DIS,5/16/2016,100.36
DIS,5/17/2016,99.94
DIS,5/18/2016,99
DIS,5/19/2016,98.41
DIS,5/20/2016,99.78
DIS,5/23/2016,99.18
DIS,5/24/2016,99.51
DIS,5/25/2016,99.86
DIS,5/26/2016,99.81
DIS,5/27/2016,100.29
DIS,5/31/2016,99.22
DIS,6/1/2016,98.52
DIS,6/2/2016,98.72
DIS,6/3/2016,98.75
DIS,6/6/2016,98.78
DIS,6/7/2016,98.35
DIS,6/8/2016,98.04
DIS,6/9/2016,97.84
DIS,6/10/2016,97.34
DIS,6/13/2016,97.57
DIS,6/14/2016,98.4
